#,单词,音标,解释,笔记
0,"zone","英:/zəʊn/ 美:/zoʊn/","- n. 地带；地区；[体]联防
- vi. 分成区
- vt. 使分成地带；环绕


时 态:  
zoned, zoning, zones",
1,"zest","英:/zest/ 美:/zest/","- n. 风味；热心；强烈的兴趣
- vt. 给…调味


时 态:  
zested, zesting, zests 

形容词:  
zestful",
2,"za","英:/zɑ:/ 美:/zɑ/","abbr. South Africa 南非",
3,"youth","英:/juːθ/ 美:/juːθ/","- n. 青年时期, 青春(期)
- 青春, 活力, 朝气, 血气
- 青年人
- 年轻人, 青年男子",
4,"young","英:/jʌŋ/ 美:/jʌŋ/","- adj. 年轻的；初期的；没有经验的
- n. （动物的）崽，仔；年轻人

Young杨(Edward,1683-1765,英国诗人)

比较级:  
younger, youngest",
5,"york","英:/jɔ:k/ 美:/jɔrk/","约克角(澳大利亚东北部)(在约克角半岛)

形容词:  
Yorkist",
6,"yom","/jɔm/","n. （犹太）日子",
7,"yoga","英:/ˈjəʊɡə/ 美:/ˈjoʊɡə/","n. [印度教]瑜珈（意为“结合”，指修行）；瑜珈术


形容词:  
yogic",
8,"yield","英:/jiːld/ 美:/jiːld/","- vt. 出产；屈服；放弃
- vi. 屈服，投降
- n. 收益；产量


时 态:  
yielded, yielding, yields 

名 词:  
yielder",
9,"yet","英:/jet/ 美:/jɛt/","- adv. 还；但是；已经
- conj. 然而；但是",
10,"yesterday","英:/'jestədeɪ/ 美:/'jɛstɚde/","- n. 昨天
- adv. 在昨天, 在昨日",
11,"yes","英:/jes/ 美:/jɛs/","adv. 是",
12,"yen","英:/jen/ 美:/jen/","- n. 日元（日本货币单位）；渴望
- vi. 渴望


时 态:  
yenned, yenning, yens",
13,"yellow","英:/'jeləʊ/ 美:/'jɛlo/","- adj. 黄色的
- 黄皮肤的；黄种人的
- 胆怯的
- n. 黄色
- vt. & vi. (使某物)变黄或发黄

比较级:  
yellower，yellowest 

名 词:  
yellowness",
14,"yearly","英:/ˈjɪəli/ 美:/ˈjɪrli/","- adj. 每年的
- adv. 每年；一年一次
- n. 年刊；年鉴",
15,"year","英:/jɪə/ 美:/jɪr/","- n. 年
- 一年的期间，年度；学年
- 年纪，年龄，年岁",
16,"yeah","英:/jeə/ 美:/jɛə/","- adv. [口]是
- int. 是",
17,"yea","英:/jeɪ/ 美:/je/","- n. 赞成；肯定；投赞成票者
- adv. 是的",
18,"wrote","英:/rəʊt/ 美:/rot/","v. 写（write的过去式）",
19,"wrongly","英:/'rɔŋli/ 美:/ˈrɑŋlɪ/","- adv. 错误地，不正确地；不恰当地
- 不正直地，不公正地",
20,"wrong","英:/rɒŋ/ 美:/rɔŋ/","- adj. 不道德的，不正当的，不义的
- 不确实的，不正确的，错误的
- 不合要求的，不适合的，并非合意的
- 有故障，有毛病
- adv. 方式或方向错误地；错误地；结果错误地
- n. 罪过，过失，罪恶
- 不义的行为，不公正的事

时 态:  
wronged，wronging，wrongs 

副 词:  
wrongly

名 词:  
wrongness",
21,"written","英:/'rɪtn/ 美:/'rɪtn/","- adj. 书面的，成文的；文字的
- v. 写（write的过去分词）",
22,"writing","英:/'raɪtɪŋ/ 美:/'raɪtɪŋ/","- n. 笔迹；作品；书写；著作
- v. 书写（write的ing形式）",
23,"writer","英:/'raɪtə/ 美:/'raɪtɚ/","n. 作家；作者",
